id,type,text1,text2,text3,notes
aBadIdea2_aluben_repeater,WEAPON,"Two huge cannons which fire slow-moving plasma-charged projectiles. Rounds are highly effective versus armor, and obliterate any hull structure left underneath.",,,
aBadIdea2_hound_laser,WEAPON,"Some desperate (insane?) pirate managed to hack-job a hound blueprint into a laser weapon, the beams coming from the reassembled engines.",,,
aBadIdea2_elttuhs_weapon,WEAPON,"Essentially a rapid-fire flak cannon, the Devastator was developed by the Domain Armada using generic parts in response to a rebellious world which managed to acquire an extensive set of fighter LPCs.",,,
aBadIdea2_RATS_repeater,WEAPON,"Three huge cannons which fire slow-moving plasma-charged projectiles. Rounds are highly effective versus armor, and obliterate any hull structure left underneath.",,,
aBadIdea2_pilum_for_fighters,WEAPON,I'm not sure you can see this description at all,,,
aBadIdea2_pilum_single,WEAPON,"A large guided missile suited for long-range support by backline combat ships. A combat-rated autoloader system ensures continued usefulness in protracted engagements.

A technologically mature weapon system, the Pilum-class missile is the obvious choice for long-range strikes by cautious captains. The guidance system on this weapon make it dangerous versus only the heavier of enemy craft. Unfortunately, those craft also tend to have the best point defense system, which somewhat limits the Pilum's otherwise considerable punch.",,,
aBadIdea2_pilum_maximum,WEAPON,"A large guided missile suited for long-range support by backline combat ships. A combat-rated autoloader system ensures continued usefulness in protracted engagements.

A technologically mature weapon system, the Pilum-class missile is the obvious choice for long-range strikes by cautious captains. The guidance system on this weapon make it dangerous versus only the heavier of enemy craft. Unfortunately, those craft also tend to have the best point defense system, which somewhat limits the Pilum's otherwise considerable punch.",,,
aBadIdea2_pilum_beyond,WEAPON,"At the press of a button, the superior forges aboard Ea spring to life, launching dozens of missiles from the front of the ship.",,,
aBadIdea2_pilum_ea,WEAPON,"I shall offer this one strike as the ceremony of separation! I speak of the beginning. Heaven and earth are divided and nothingness celebrates Creation. My Sword of Rupture rends the world apart. The vortex that turns the stars, this heavenly hell signifies the end of the eve of genesis. Subside with death! Enuma Elish!",,,
,,,,,
aBadIdea2_onslaught_lgbt,SHIP,"Another goddamned Onslaught reskin.

When first launched from orbital dock, they must have surely dwarfed any other ship in existence and intimidated entire systems. Some even say that they were built to combat non-humans in a long forgotten war. Much later, Domain engineers made modifications to the blueprints to include a shield system, upgraded the FTL drives, and reduced the necessary crew complement through automation and iterative engineering. Even though more advanced blueprints are available, the Onslaught remains the easiest to manufacture due to the brutal simplicity of its systems. 

A ship designed without shields in mind, built to be able to withstand a heavy barrage of enemy fire and strike back while protecting its crew is much loved by its officers and crew. And strike back it can; the Onslaught's unmatched ballistic potential can devastate entire fleets in minutes, its only drawback a logistical dependency on ammunition. 

The Onslaught-class proudly serves as the backbone of the Hegemony Navy.",,,
aBadIdea2_paragon_lowtech_phase,SHIP,"Persean attempts to copy the Paragon and improve it have resulted in this abomination. Perhaps the engineers were more concerned with whether or not they could, instead of if they should?

The pinnacle of the Domain's battleship designs, though perhaps less the result of military necessity and more of the ambitions of certain senior strategic staff of the Domain Navy - with considerable backing from the Tri-Tachyon corporation, among other major contractors.

No ship can outlast or outgun the Paragon-class, a true Leviathan of a bygone epoch.

",,,
aBadIdea2_long_apogee,SHIP,"The Apogee-class vessel is an effective mix of advanced scientific and military technologies, perfect for long-range exploration of hostile space. 

The class features an asymmetric design with a large forward section, usually outfitted with long-range tech scanners. Apogee captains are used to operating alone and tend to be an independent, self-reliant lot. 

The ship can hold its own in one-on-one engagements by smart use of its powerful shield emitter and strong engines. However, its armor rating makes it seem somewhat fragile on paper, and thus it is rarely part of big fleet actions.

The high construction costs typically mean that only affluent tech mining consortiums can afford an Apogee-class vessel that is fully outfitted for an aggressive exploratory role.",,,
aBadIdea2_atlas_as_fuck,SHIP,"Some anomalous event has caused the cargo containers of this Atlas to disappear from the outside.

The Atlas-class ships are large space-borne cargo platforms with an FTL drive and a few defensive systems. Hundreds of containers can be latched on to the hull and carried with ease by this behemoth. 

Typically used to efficiently resupply entire outposts, the Atlas is ill suited to the small and fast trade runs that are the mainstay of commerce in the sector. Their slow speed and large size always tempt uninvited guests, ranging from curious gawkers come to see the hulking colossus, to scavenging pirates aiming to disable a container's magneto-gravitic fastener, to Pather fanatics bent on destroying it all. Nonetheless, the Hegemony makes wide use of them, especially to offload biomass from farming worlds on a seasonal basis. For this purpose, the Hegemony assembles large Atlas convoys; these are protected by military cruisers that ensure that the lifeline of Hegemony citizens is kept safe.

The captaincy of an Atlas is a rare punishment for the able, an uneven mixture of soul-numbing boredom and abject terror, being the results of normal trade runs and pirate attacks, respectively.",,,
aBadIdea2_aluben_the_destroyer,SHIP,A sawn-off nebula with two custom-fit hellbores.,,,
aBadIdea2_gust,SHIP,Someone tried to copy a Gust using sector-standard materials. This is the result.,,,
aBadIdea2_hivecon,SHIP,"A heavily modified Conquest, with most gunnery systems stripped out and the armor compromised to fit as many figher nanoforges as possible.",,,
